IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,College_Num
105,5.36,5.11,10,0,2,8,0,0,16
73,8.72,8.48,10,1,0,5,5,0,76
104,8.56,8.15,7,0,9,8,4,1,14
94,5.29,5.18,7,1,3,10,5,0,47
89,7.8,7.89,1,1,3,4,1,0,54
109,5.42,5.5,10,0,10,4,1,0,58
115,9.52,9.56,5,0,4,6,3,1,77
113,9.54,9.38,3,0,2,10,3,1,30
87,8.49,8.7,2,0,10,5,3,0,100
95,9.63,9.96,5,0,1,5,3,0,46
104,9.06,8.91,5,0,1,9,4,1,16
114,9.14,8.73,2,1,7,6,2,1,1
92,7.85,7.65,6,0,6,3,3,0,41
97,6.53,6.17,7,0,0,4,3,0,93
83,6.09,6.06,1,0,8,9,0,0,27
82,6.64,6.3,3,0,2,6,5,0,77
112,8.14,8.1,4,0,2,8,1,1,62
120,5.86,5.58,2,0,0,7,4,0,81
98,6.29,6.53,10,1,10,1,1,0,28
115,7.34,6.87,5,1,3,1,2,0,20
105,6.17,6.22,4,0,9,10,4,0,55
90,7.94,7.61,2,0,10,7,2,0,51
105,9.62,9.12,1,1,1,2,1,0,69
123,8.74,9.11,8,0,2,9,0,1,88
99,8.33,8.5,2,0,10,10,3,1,73
123,7.91,7.51,4,0,0,9,1,0,97
60,7.44,7.6,10,1,2,2,4,0,34
112,5.93,6.04,5,0,3,9,3,1,27
101,9.47,9.44,2,0,5,9,4,1,97
95,6.24,6.16,10,0,2,10,2,0,38
101,5.46,5.85,9,1,10,6,4,0,29
70,8.75,8.5,2,0,5,5,0,0,35
96,5.88,5.78,6,0,1,10,2,0,20
105,6.86,6.69,7,0,10,2,5,0,19
122,5.14,5.41,6,0,7,6,5,0,5
92,5.69,6.11,4,0,4,9,1,0,25
87,5.87,6.22,1,0,0,3,3,0,93
92,5.27,5.57,2,0,5,3,3,0,26
113,8.28,8.77,10,0,2,4,0,0,51
104,9.19,9.39,10,1,3,10,4,1,66
92,6.87,7.12,6,0,9,4,1,0,61
107,9.37,9.85,8,1,7,1,5,0,15
101,6.07,5.58,3,1,7,2,4,0,45
114,6.63,6.76,7,0,10,6,5,0,6
89,5.75,5.99,9,0,7,5,4,0,58
95,8.1,8.52,4,1,4,10,0,0,1
94,7.1,7.48,7,0,0,4,5,0,73
78,8.07,8.41,7,0,8,10,2,1,43
104,8.81,9.26,10,0,10,9,5,1,16
103,7.73,7.77,9,1,8,2,2,0,14
100,8.14,7.65,3,0,7,8,0,0,74
96,9.68,9.19,1,1,10,4,0,0,19
78,6.5,6.54,8,1,2,9,0,0,51
93,6.8,6.74,4,0,5,4,4,0,8
94,8.59,8.54,2,0,6,2,5,0,48
87,8.06,7.96,5,0,3,6,5,0,12
97,5.89,6.31,4,0,9,9,4,0,70
106,6.88,6.74,1,1,6,7,1,0,35
128,7.34,7.7,7,0,8,1,0,0,70
102,7.1,7.5,4,0,5,9,4,0,6
103,5.89,5.89,8,1,1,6,2,0,99
98,9.62,9.57,9,0,5,9,5,1,11
71,8.81,9.07,8,1,2,2,5,0,38
99,7.41,7.62,1,0,6,7,0,0,91
100,8.4,8.23,8,1,2,8,2,1,26
136,9.49,9.09,5,0,7,8,3,1,28
97,5.68,5.44,1,1,10,5,1,0,72
104,6.25,5.88,9,1,10,7,3,0,89
99,7.71,7.5,9,0,4,7,1,0,83
82,9.0,8.76,7,0,2,3,0,0,80
117,5.18,5.32,7,0,0,2,5,0,50
111,9.92,10.37,1,0,4,5,1,0,58
111,7.27,7.46,9,0,9,4,4,0,26
86,6.8,7.23,1,1,9,8,2,0,44
121,6.46,6.74,7,0,10,5,5,0,15
78,5.87,6.1,9,0,2,9,4,0,76
108,8.96,8.87,9,0,3,7,0,0,24
132,9.78,9.6,5,0,9,1,3,1,77
85,7.07,7.42,6,0,3,2,2,0,59
91,9.76,10.17,2,0,2,8,0,0,57
101,9.12,9.07,2,0,5,10,4,1,17
92,7.41,6.92,10,0,5,8,4,0,77
76,8.37,8.66,9,0,0,2,1,0,81
101,7.17,6.96,1,0,3,7,1,0,1
84,7.79,7.3,10,1,0,8,3,0,11
107,5.29,5.59,5,1,6,4,1,0,20
86,8.48,8.5,7,0,6,3,1,0,31
123,5.26,5.45,10,1,5,10,1,0,99
88,9.09,9.5,6,0,10,9,3,1,39
95,9.12,9.16,6,0,1,2,0,0,63
112,6.19,6.19,6,0,3,3,5,0,6
81,6.62,6.41,8,0,2,8,2,0,99
103,7.41,7.22,7,1,10,2,0,0,28
119,7.98,8.28,5,0,7,5,5,1,51
75,6.44,6.39,10,0,1,10,5,0,53
102,7.96,7.62,2,1,9,8,0,0,44
103,6.49,6.08,10,0,1,7,0,0,65
111,5.28,5.25,6,1,0,4,4,0,80
81,5.01,4.97,10,0,8,10,2,0,12
80,5.51,5.66,5,0,2,9,2,0,28
107,8.96,8.93,4,1,7,2,4,0,79
104,9.81,9.45,10,0,6,7,5,0,72
103,7.13,7.14,5,0,0,7,4,0,68
105,7.56,7.97,9,0,10,7,5,0,95
89,5.73,5.39,2,1,5,7,1,0,30
103,7.76,7.95,6,0,7,5,4,0,35
104,5.72,5.81,9,0,5,1,3,0,6
89,8.06,8.31,10,0,8,4,4,0,85
127,9.67,9.32,5,1,9,5,1,0,30
107,5.98,6.42,6,0,2,10,4,0,80
82,8.82,8.94,10,0,5,4,3,0,63
109,5.12,5.47,4,1,9,7,4,0,8
85,6.88,6.63,5,0,3,2,5,0,91
111,5.55,5.79,8,0,9,2,0,0,33
117,6.76,7.04,1,1,2,2,2,0,43
87,5.87,5.77,1,1,7,10,3,0,76
114,6.87,6.75,10,1,6,3,3,0,43
106,7.09,7.25,4,1,6,5,3,0,45
112,6.5,6.09,10,1,4,10,5,1,87
128,8.28,8.52,3,1,0,9,0,1,54
96,9.59,9.13,5,1,5,3,0,0,65
88,7.0,6.69,10,1,5,6,2,0,7
86,5.96,6.12,8,1,2,6,1,0,36
87,6.35,5.95,1,0,4,6,2,0,25
98,9.27,9.74,5,0,8,5,3,0,85
105,7.86,8.23,5,0,6,2,3,0,37
104,7.28,7.41,2,1,7,1,3,0,12
112,5.75,6.07,5,1,8,5,2,0,32
100,7.25,7.64,8,1,5,8,1,0,49
121,6.39,6.15,10,1,4,10,1,0,38
96,9.72,10.07,7,0,9,5,2,0,56
140,9.42,9.11,2,0,4,3,5,1,80
109,5.42,5.33,6,1,4,3,3,0,65
87,7.58,7.64,10,0,3,2,2,0,26
83,6.13,6.34,1,0,1,7,2,0,57
107,7.05,6.58,10,0,6,2,4,0,14
96,9.38,9.17,10,1,6,6,4,0,56
110,7.64,7.75,3,1,7,8,0,0,70
107,6.67,6.53,6,0,7,8,0,0,41
98,6.04,6.32,9,1,10,2,2,0,51
87,9.0,9.15,1,0,7,6,4,0,84
77,8.12,7.85,6,1,8,3,3,0,67
93,7.34,6.99,2,1,5,9,0,0,12
112,6.09,6.22,9,1,3,3,3,0,97
103,6.67,6.62,2,1,1,1,3,0,49
81,9.8,9.47,3,0,4,9,0,0,1
102,7.6,7.43,2,1,5,8,5,0,19
105,7.0,6.8,4,1,6,2,2,0,66
86,7.61,7.22,4,0,5,10,4,0,58
102,8.89,8.94,10,1,3,10,0,0,87
100,6.7,6.96,1,1,3,3,1,0,72
82,5.89,5.97,8,1,6,7,1,0,98
105,7.92,8.25,5,1,0,6,3,0,4
108,8.33,7.96,8,0,2,8,1,0,8
116,8.56,8.5,6,1,9,10,3,1,27
115,9.41,9.52,2,0,1,5,5,1,26
79,6.86,7.04,7,0,1,5,5,0,97
85,5.38,5.58,10,0,6,2,5,0,43
107,9.79,10.02,9,0,4,6,5,0,40
107,7.18,7.33,7,1,2,5,5,0,50
107,8.12,7.71,5,0,8,9,4,0,67
157,8.33,8.53,4,0,8,3,0,0,73
108,7.73,7.95,8,0,2,5,0,0,74
117,6.03,6.52,6,0,1,3,4,0,29
114,8.78,8.97,5,1,2,9,3,1,85
109,9.02,9.21,7,1,8,9,5,1,42
95,7.76,7.77,3,1,7,10,2,0,18
111,7.44,7.81,9,0,2,7,1,0,81
88,5.57,6.07,4,0,3,1,5,0,21
96,5.42,5.7,4,0,4,9,4,0,67
92,6.7,6.81,8,0,3,9,1,0,62
101,6.55,6.13,6,1,10,10,2,0,27
134,9.77,10.0,1,1,1,5,3,1,96
71,8.92,9.13,2,0,10,2,5,0,93
110,8.3,8.58,9,0,8,1,1,0,47
75,7.59,7.21,6,0,1,2,3,0,93
92,5.84,5.99,7,1,4,4,5,0,26
116,9.89,9.69,9,0,10,4,2,1,9
100,6.88,7.14,3,1,8,1,3,0,91
83,5.53,5.27,5,1,7,8,2,0,12
89,7.47,7.65,5,1,0,10,0,0,16
110,9.37,9.16,10,0,2,8,1,0,47
89,9.44,8.95,7,1,9,8,1,0,56
103,5.05,5.18,2,1,8,5,2,0,66
100,9.43,9.04,4,0,2,10,2,1,51
90,6.36,6.52,4,0,10,2,4,0,27
132,5.19,5.62,8,1,3,4,2,0,73
109,9.24,9.71,10,1,2,1,2,0,66
69,9.32,9.06,3,0,6,10,3,1,62
102,7.98,8.29,2,0,8,1,3,0,71
90,7.87,7.72,9,0,3,10,1,0,8
112,9.07,9.47,4,0,8,3,3,1,38
88,8.93,9.22,9,1,1,4,3,0,6
98,9.45,9.02,6,0,1,3,1,0,59
107,7.76,7.67,1,0,8,3,5,0,19
112,9.84,9.68,3,0,6,8,0,1,79
81,9.98,10.27,7,0,4,4,4,0,56
94,5.58,5.49,9,1,4,3,3,0,28
92,9.25,9.43,8,1,8,9,0,0,94
90,7.5,7.6,5,1,10,1,4,0,91
126,6.94,7.42,8,1,3,8,1,0,10
106,8.07,8.51,2,0,10,5,3,0,45
81,5.28,5.21,3,0,0,8,5,0,95
113,7.53,7.75,8,0,5,10,3,1,65
131,9.35,9.68,9,1,2,3,2,1,50
115,6.07,6.47,10,0,1,6,3,0,32
77,7.13,6.7,8,1,3,7,3,0,61
92,9.7,9.5,4,1,8,8,0,0,16
119,7.14,6.96,6,0,7,7,0,0,6
89,6.79,6.72,5,1,6,7,3,0,66
106,7.2,6.87,4,0,1,2,5,0,62
111,7.6,7.6,9,1,0,3,4,0,66
86,8.16,8.32,10,0,6,6,1,0,67
99,9.0,9.0,3,0,9,3,5,0,19
51,7.26,7.43,1,0,4,9,0,0,4
84,9.09,8.66,7,0,10,9,5,1,43
96,7.67,8.05,10,1,7,6,5,0,18
81,6.69,7.13,8,1,4,1,4,0,82
124,8.29,8.41,3,0,9,1,5,1,46
78,8.59,8.97,3,0,4,4,3,0,46
93,7.79,7.42,6,0,7,10,2,0,85
101,5.28,5.58,2,0,8,8,0,0,21
121,5.85,5.47,6,0,1,3,5,0,30
78,6.43,6.34,5,0,7,4,0,0,64
117,6.41,6.23,7,0,6,6,2,0,41
100,8.37,8.46,9,0,7,9,3,1,17
85,5.09,4.89,9,0,2,4,0,0,5
106,8.78,8.92,1,0,3,3,3,0,5
102,6.33,6.2,7,0,6,10,4,0,73
90,6.55,6.91,3,0,4,10,0,0,75
101,7.64,7.77,4,1,6,9,3,0,48
94,6.08,5.8,2,1,5,7,4,0,78
101,9.42,9.26,1,0,3,9,5,1,38
109,5.43,5.78,10,1,1,10,0,0,6
123,7.22,7.11,3,1,5,6,1,0,58
81,9.25,9.29,10,0,5,4,3,0,14
131,8.08,8.23,9,0,5,5,4,1,72
70,6.46,6.31,1,1,0,10,5,0,94
97,7.1,6.89,3,0,5,2,1,0,59
108,8.53,8.51,5,1,1,3,3,0,65
104,9.87,9.58,3,0,9,5,0,0,89
90,9.47,9.25,4,0,4,3,5,0,13
96,6.71,6.27,4,0,6,3,3,0,27
92,9.99,9.79,1,1,9,9,4,1,25
91,5.02,4.84,6,1,0,4,0,0,56
112,5.14,5.6,7,1,4,4,0,0,68
105,9.12,9.21,7,1,8,1,5,0,59
89,6.0,6.29,6,0,2,7,0,0,95
113,5.3,4.85,7,0,1,10,2,1,49
104,6.19,5.8,3,1,9,9,4,0,18
112,7.13,7.44,5,1,1,8,1,0,81
109,8.65,8.77,7,1,2,2,0,0,75
87,8.12,7.81,10,0,0,6,4,0,76
91,6.19,6.09,5,1,1,10,2,0,3
111,7.52,7.56,10,1,5,10,2,1,79
109,9.63,9.97,2,1,7,5,5,0,57
99,9.08,8.64,6,0,3,8,0,0,6
101,6.62,6.72,7,1,1,1,4,0,69
119,9.91,10.13,2,0,4,9,2,1,31
91,8.54,9.02,10,0,2,9,0,0,8
108,5.31,5.62,8,1,4,7,5,0,10
96,5.18,4.96,5,1,2,8,3,0,3
96,5.84,6.05,8,0,10,9,3,0,12
116,8.64,8.9,3,0,3,5,3,1,92
112,5.92,6.15,2,1,4,2,1,0,76
112,7.56,7.88,7,1,6,1,4,0,94
119,5.47,5.87,5,1,1,5,5,0,19
100,9.6,9.2,5,0,5,8,3,1,21
110,6.72,6.32,8,0,5,10,2,0,81
95,9.54,9.84,9,0,5,4,1,0,14
104,9.72,9.47,8,1,6,4,3,0,75
98,5.03,4.59,10,0,10,4,0,0,29
101,7.32,7.22,2,0,2,8,2,0,7
108,5.12,5.44,10,1,4,7,1,0,49
87,9.54,9.17,7,0,8,1,1,0,65
131,7.59,7.76,5,0,8,10,2,1,7
84,5.37,4.87,7,1,6,6,3,0,14
81,5.55,5.16,3,1,8,4,5,0,16
117,6.92,6.77,4,1,2,2,5,0,99
111,9.7,9.28,7,0,6,3,0,0,16
109,8.46,8.81,2,0,0,4,0,0,85
109,9.34,9.7,2,0,6,10,5,1,13
99,6.83,7.09,1,1,2,7,5,0,82
86,5.22,4.96,1,0,2,1,0,0,29
101,9.87,9.89,1,1,6,1,1,0,85
89,5.09,4.77,6,1,7,3,3,0,73
114,9.74,9.52,5,1,3,2,5,1,95
97,6.84,6.86,10,1,0,3,5,0,61
87,5.05,5.29,8,0,4,3,2,0,37
95,8.45,8.04,5,1,9,1,4,0,17
106,9.9,9.7,1,1,3,6,0,0,31
91,9.83,10.26,8,0,8,8,2,1,59
87,5.8,5.73,6,0,2,5,5,0,88
103,5.91,6.35,8,1,3,1,5,0,47
103,7.83,8.32,2,1,9,10,2,1,6
92,8.19,8.22,10,1,2,7,5,0,32
92,8.7,8.49,8,0,2,10,0,0,31
103,5.91,6.2,6,0,6,9,4,0,18
78,9.8,9.46,1,0,4,7,1,0,9
78,8.19,7.94,1,1,4,9,1,0,3
89,9.24,9.52,10,0,3,10,3,1,71
96,7.7,7.63,5,0,9,9,5,0,26
104,7.07,6.77,7,1,7,2,1,0,13
122,9.89,10.04,4,0,0,8,2,1,34
112,7.91,8.14,10,0,10,7,1,0,43
97,9.33,8.96,5,0,8,7,3,0,93
99,9.77,9.55,10,0,10,2,2,0,33
84,8.38,8.1,3,0,8,1,2,0,69
99,7.74,7.62,2,0,10,4,4,0,36
95,5.02,5.28,2,0,4,7,5,0,79
104,5.2,5.41,5,0,0,6,0,0,74
87,6.0,6.16,4,1,1,10,0,0,68
107,5.93,5.44,2,0,1,2,0,0,47
122,6.27,5.91,5,1,5,7,3,0,61
98,6.52,6.24,10,1,9,10,1,0,45
106,6.8,6.57,9,0,8,9,0,0,96
110,7.1,6.75,8,0,2,2,1,0,88
93,5.49,5.4,9,0,7,10,0,0,84
103,5.21,4.79,9,0,1,5,4,0,48
100,8.37,8.62,8,0,4,2,1,0,41
101,7.69,7.98,9,0,3,1,3,0,38
88,7.22,7.29,4,0,4,7,5,0,68
100,8.17,7.76,8,1,3,2,5,0,75
107,9.14,9.53,2,0,0,6,3,0,11
121,7.14,7.61,9,0,0,7,1,0,16
114,8.21,7.91,9,0,5,1,5,0,65
132,9.77,9.97,3,0,7,9,3,1,97
88,9.2,9.54,6,0,6,6,2,0,71
113,7.13,7.17,7,1,3,2,3,0,67
102,8.22,8.04,3,1,4,1,4,0,71
132,5.89,5.87,5,0,7,1,4,0,1
87,7.8,7.81,1,0,5,2,1,0,97
87,9.91,9.81,3,1,7,9,3,1,71
91,7.59,8.02,8,0,5,2,1,0,4
68,9.64,9.88,3,0,7,1,0,0,82
92,7.04,6.78,8,1,3,4,2,0,37
88,9.99,10.08,9,0,9,9,1,0,14
102,7.9,8.09,6,1,1,8,1,0,79
105,5.21,4.85,7,0,2,7,1,0,25
128,7.93,7.79,6,0,4,8,5,1,82
114,6.37,6.78,8,0,3,2,1,0,4
91,5.16,5.23,7,0,4,5,5,0,66
86,9.1,8.82,10,0,0,7,4,0,43
107,6.38,6.0,1,0,0,1,2,0,26
80,8.98,9.0,3,1,1,6,0,0,84
127,6.44,6.49,3,0,10,7,2,0,15
117,5.97,5.8,3,0,1,8,1,0,6
92,9.87,10.0,4,1,7,5,4,0,37
74,6.81,6.38,1,0,9,8,0,0,43
120,8.01,7.66,2,1,3,10,5,1,42
98,8.05,8.1,5,0,5,1,1,0,13
118,7.8,7.36,6,1,1,4,5,0,16
76,9.57,9.95,9,1,0,6,1,0,42
91,8.37,8.01,2,0,6,4,3,0,38
100,7.02,7.19,9,0,3,5,2,0,66
100,9.31,9.2,7,0,3,2,2,0,65
93,5.91,5.81,9,0,1,7,2,0,5
109,7.72,7.98,4,1,8,9,3,0,30
83,9.75,9.75,7,1,1,7,4,0,95
97,8.13,8.36,1,1,4,1,4,0,43
101,9.08,9.09,8,0,5,2,4,0,32
107,8.27,8.36,7,1,2,8,5,1,67
110,9.2,9.46,7,0,10,1,0,0,67
83,9.72,9.83,2,1,2,2,3,0,42
76,6.36,6.48,10,1,5,5,3,0,5
119,5.85,6.14,9,1,4,6,4,0,99
104,7.42,7.87,8,0,4,1,4,0,86
88,8.51,8.39,1,1,4,1,4,0,96
123,6.14,6.22,1,1,8,2,3,0,59
101,5.02,4.61,5,0,7,3,4,0,23
117,6.71,6.57,2,1,3,9,2,1,8
101,9.84,9.75,1,0,5,3,4,0,68
130,8.47,8.81,10,0,4,8,2,1,70
126,7.01,7.02,8,1,10,6,1,0,91
96,5.96,6.19,4,0,5,10,1,0,19
114,6.78,6.3,2,0,10,5,3,0,44
109,5.85,5.81,5,0,7,9,0,0,93
120,5.53,5.93,6,1,5,8,5,1,38
85,9.53,9.25,8,1,5,3,1,0,44
110,9.99,9.52,7,0,1,7,3,0,6
115,5.82,5.75,7,1,6,4,3,0,3
73,5.27,5.47,1,0,2,8,2,0,96
82,6.65,6.6,3,0,6,7,2,0,80
69,7.31,7.27,3,1,4,3,4,0,33
95,6.02,6.19,7,0,3,7,5,0,66
110,6.51,6.26,2,1,9,6,1,0,58
122,6.0,6.25,10,1,0,6,2,0,26
101,8.87,8.52,7,0,7,10,0,0,99
124,8.56,8.46,9,1,1,3,5,1,28
79,8.17,8.33,1,0,9,4,3,0,43
74,6.94,7.27,2,0,7,4,5,0,75
99,9.55,9.84,6,0,6,6,4,0,88
105,9.85,10.07,2,0,2,9,2,1,16
99,5.87,5.73,2,1,10,5,2,0,89
68,6.12,5.74,5,0,6,8,2,0,23
98,7.63,7.35,7,0,0,5,5,0,59
80,5.46,5.82,4,1,4,6,1,0,35
110,7.18,7.54,6,1,1,6,5,0,89
105,7.91,8.36,3,0,1,4,2,0,41
85,7.61,7.19,4,1,2,10,5,0,97
92,6.65,6.69,4,0,6,10,3,0,22
84,7.71,7.86,4,0,1,5,2,0,74
99,9.79,10.0,1,1,3,4,5,0,1
114,6.03,6.17,4,0,3,2,0,0,46
85,8.27,8.54,4,1,0,2,2,0,22
107,5.22,5.08,6,1,6,8,4,0,32
92,5.33,5.01,9,0,3,4,4,0,87
88,7.76,7.46,10,1,0,9,0,0,30
98,5.52,5.03,6,0,2,6,4,0,87
84,5.11,4.96,6,0,7,5,1,0,43
91,5.86,5.45,7,0,3,7,3,0,12
82,7.82,7.64,7,1,0,6,3,0,83
129,8.52,8.65,1,0,6,4,1,0,71
100,6.01,6.4,8,0,7,10,4,0,27
89,8.34,8.68,1,0,4,9,0,0,26
103,5.91,5.66,9,1,8,6,0,0,18
98,8.07,7.7,4,0,6,3,3,0,92
96,7.06,6.75,9,0,3,4,5,0,75
109,8.27,8.74,8,0,8,4,0,0,66
111,9.98,10.03,9,1,5,8,1,1,81
92,9.69,9.37,6,1,10,5,3,0,61
91,5.02,5.36,9,1,7,8,2,0,46
95,9.43,9.33,4,1,1,8,1,0,29
65,5.33,5.73,3,1,4,6,1,0,32
77,9.77,9.53,3,0,2,5,0,0,15
120,6.41,6.3,8,0,4,2,5,0,60
124,6.91,6.91,2,1,7,1,0,0,82
96,5.46,5.85,6,0,5,7,0,0,28
108,5.56,5.93,9,1,0,10,2,0,27
104,8.63,8.7,9,0,6,10,1,0,41
146,9.72,9.44,8,1,9,7,4,1,47
116,8.05,7.95,8,1,0,2,3,0,33
98,8.58,9.06,1,1,0,3,0,0,44
85,8.81,8.92,7,0,3,8,0,0,50
75,6.31,6.59,1,0,8,4,1,0,10
103,5.23,5.18,9,0,7,5,2,0,24
88,5.01,5.04,3,0,9,7,0,0,34
78,6.75,6.68,1,0,2,8,2,0,91
90,6.21,6.41,8,0,5,1,2,0,20
83,5.31,5.66,7,0,0,7,4,0,25
125,5.9,5.91,2,1,9,3,2,0,55
113,5.62,5.6,7,1,0,5,4,0,90
99,9.57,9.41,5,0,5,1,3,0,43
122,5.7,5.38,7,0,4,3,2,0,53
101,7.69,8.13,10,1,5,5,3,0,85
87,7.97,7.79,7,0,8,1,2,0,50
122,7.72,8.02,2,1,4,2,4,1,55
108,5.5,5.72,2,0,1,3,4,0,13
84,6.59,6.88,7,1,0,8,3,0,49
97,5.26,5.7,3,1,10,5,1,0,97
86,6.98,7.1,4,0,1,5,1,0,10
79,5.94,6.34,7,0,7,3,1,0,92
113,7.81,7.48,2,0,0,9,2,1,97
128,8.46,8.59,2,0,5,9,1,1,11
79,7.66,7.93,9,0,4,2,3,0,78
108,7.17,6.94,1,0,9,8,1,0,84
90,6.94,7.18,3,1,10,1,3,0,100
92,9.21,9.49,10,1,8,5,3,0,20
91,6.1,6.43,4,0,3,7,5,0,72
87,8.67,8.48,5,0,4,8,2,1,79
100,8.79,8.97,3,0,4,8,5,1,97
87,7.1,6.9,9,1,10,6,4,0,83
104,6.49,6.73,5,0,1,7,2,0,48
99,7.35,7.31,7,0,10,4,2,0,76
96,5.47,5.57,7,1,1,10,0,0,17
86,5.23,5.15,9,0,8,7,1,0,33
91,5.56,5.22,2,0,2,7,1,0,20
111,5.94,5.62,3,0,5,9,3,1,46
107,7.52,7.1,4,1,3,2,4,0,31
85,9.25,9.37,8,0,3,8,5,1,51
101,6.18,6.53,1,1,4,9,1,0,83
111,9.68,9.2,9,0,4,3,1,0,19
74,9.77,9.34,5,1,6,8,4,1,62
108,9.79,9.75,4,0,6,1,1,0,44
90,9.19,9.43,8,0,0,10,0,0,77
108,6.82,6.48,9,0,5,5,1,0,38
88,5.36,5.13,3,0,3,1,0,0,49
72,7.84,7.57,4,1,1,1,2,0,65
75,7.79,7.69,1,1,5,6,2,0,11
100,9.25,8.97,3,0,6,5,0,0,27
103,9.98,9.83,10,0,1,5,5,0,58
86,7.54,7.77,5,0,1,2,5,0,64
109,6.73,6.84,8,0,9,10,3,0,65
75,5.93,5.51,1,1,10,9,0,0,15
99,5.02,5.16,1,1,6,5,3,0,82
81,7.55,7.53,3,1,8,3,4,0,89
90,7.78,8.21,9,0,2,7,4,0,1
100,9.12,8.91,9,0,2,6,0,0,19
87,7.52,7.75,1,0,7,6,3,0,56
94,9.58,9.81,4,0,1,5,2,0,64
115,8.14,7.86,8,0,8,4,0,0,34
91,9.2,9.6,2,0,6,6,0,0,64
112,5.74,5.73,4,1,7,7,3,0,10
83,9.28,9.46,7,0,8,8,4,1,76
107,8.38,8.03,7,0,2,2,5,0,60
121,5.85,5.61,5,1,5,4,2,0,39
62,5.95,6.04,7,0,7,7,3,0,66
88,9.63,9.45,6,0,0,3,3,0,32
108,5.16,5.16,2,0,5,5,2,0,51
96,7.31,7.18,9,1,2,10,5,0,26
105,6.57,6.71,5,0,7,7,5,0,57
90,8.33,8.32,2,0,8,9,0,0,84
101,9.2,8.7,6,0,4,6,0,0,60
97,6.8,6.95,10,1,1,2,1,0,55
117,7.13,7.05,5,1,6,9,2,1,6
103,9.91,9.75,2,0,5,6,3,0,7
105,8.92,8.51,10,0,5,10,1,0,66
93,9.49,9.21,10,0,0,2,1,0,81
92,7.19,6.91,7,0,0,1,1,0,26
93,6.17,6.61,10,0,5,4,0,0,95
105,7.06,6.99,2,1,5,2,4,0,98
93,8.58,8.12,7,1,3,7,1,0,82
104,5.55,5.19,6,1,7,7,3,0,78
131,6.35,5.93,4,1,8,3,5,0,5
113,5.23,5.32,4,0,5,10,0,0,87
95,7.16,6.85,6,0,9,1,5,0,1
118,9.14,9.14,9,0,7,2,4,1,84
93,5.12,4.99,10,1,7,8,4,0,2
69,8.38,8.68,6,1,1,4,1,0,65
84,9.66,9.48,6,1,3,3,1,0,10
71,6.18,6.14,1,0,0,10,0,0,50
94,8.47,8.69,5,1,0,7,1,0,51
100,9.88,9.81,1,0,5,10,0,0,69
125,9.81,10.1,9,0,6,4,4,1,41
104,6.17,6.33,10,0,4,2,3,0,58
96,5.5,5.41,4,1,7,3,3,0,77
112,5.74,5.74,2,0,8,4,2,0,68
66,8.51,8.98,9,0,3,1,5,0,24
103,8.63,8.79,6,1,0,8,2,1,91
